Source Name,Sample Name,Factor Value,trabecular_thickness_mm,trabecular_separation_mm,trabecular_number_1_by_mm,tissue_volume_mm_third,bone_volume_mm_third,percent_bone_volume_bvtv_percent,tissue_surface_mm_squared,bone_surface_mm_squared,bone_surface_by_volume_ratio_bsbv_mm_squared_by_mm_third,Bone_surface_density_bstv_mm_squared_by_mm_third,trabecular_pattern_factor,structure_model_index,Connectivity density_1_by_mm_third,Standard_deviation_of_trabecular_thickness,Standard_deviation_of_trabecular_separation
m1,B1_m1_L4,Baseline,0.07971,0.28212,2.14,2.54841,0.43472,17.05863,11.67272,20.51527,47.19149,8.05022,4.2712,1.65715,200.51711,0.02625,0.13599
m2,B2_m2_L4,Baseline,0.079,0.29444,1.99535,2.73841,0.43166,15.76316,12.2078,19.79704,45.86265,7.2294,4.67817,1.57764,128.54194,0.0247,0.12263
m3,B3_m3_L4,Baseline,0.06692,0.26882,1.93364,2.43641,0.31527,12.93983,11.43451,17.66596,56.03486,7.25081,8.15237,1.51537,130.51986,0.0222,0.1006
m4,B4_m4_L4,Baseline,0.0661,0.2684,2.3405,2.43598,0.37684,15.46965,11.28864,20.76466,55.10234,8.52414,3.64126,1.24107,195.81416,0.02181,0.12245
m5,B5_m5_L4,Baseline,0.07121,0.31189,1.82409,2.37582,0.30862,12.98996,11.10891,15.69018,50.84018,6.60412,5.67706,1.45829,116.59146,0.02182,0.13781
m6,B6_m6_L4,Baseline,0.06725,0.31682,1.59493,2.69968,0.28958,10.72661,12.15055,15.40799,53.20721,5.70733,6.65392,1.32922,80.00938,0.02081,0.11697
m7,B7_m7_L4,Baseline,0.06421,0.31751,1.59655,2.62739,0.26933,10.25078,11.77133,15.49552,57.53405,5.89769,9.12844,1.45851,90.20367,0.02071,0.12123
m8,B8_m8_L4,Baseline,0.06858,0.26381,2.04202,2.38574,0.3341,14.00415,11.26882,18.36426,54.96591,7.69751,5.8249,1.45651,169.75853,0.02468,0.10387
m9,B9_m9_L4,Baseline,0.06787,0.2775,1.92714,2.30517,0.3015,13.07916,11.13155,16.05238,53.24223,6.96364,5.68312,1.23113,99.77562,0.02195,0.10505
m10,B10_m10_L4,Baseline,0.06042,0.30021,1.79444,2.50969,0.27211,10.84244,11.61547,16.99634,62.46093,6.77229,7.64252,1.45028,176.91438,0.0208,0.12538
m11,VIV1_m11_L4,Vivarium,0.06588,0.30679,1.71642,2.42618,0.27433,11.30702,11.41938,15.94485,58.1232,6.572,7.4657,1.53233,148.38148,0.022,0.13087
m12,VIV2_m12_L4,Vivarium,0.07319,0.24949,2.40525,2.24605,0.39538,17.60322,10.78996,21.04147,53.21877,9.36821,1.93707,1.40321,298.74678,0.02726,0.11413
m13,VIV3_m13_L4,Vivarium,0.0669,0.286,2.0457,2.45271,0.33565,13.68488,11.49492,18.24233,54.34924,7.43763,4.78229,1.2541,155.74621,0.02095,0.11949
m14,VIV4_m14_L4,Vivarium,0.07281,0.28854,1.94316,2.62616,0.37157,14.14888,11.95107,18.69989,50.32638,7.12062,4.21272,1.42389,127.94343,0.02338,0.11912
m15,VIV5_m15_L4,Vivarium,0.07072,0.34177,1.59318,2.58389,0.29114,11.26762,11.77964,15.12111,51.93717,5.85208,5.78104,1.29942,80.11191,0.02256,0.13923
m16,VIV6_m16_L4,Vivarium,0.06984,0.28639,2.10905,2.38145,0.35078,14.72957,11.29879,17.99662,51.30492,7.55699,2.38561,1.09103,146.54922,0.02187,0.12559
m17,VIV7_m17_L4,Vivarium,0.06481,0.29077,1.95977,2.5133,0.3192,12.70054,11.82052,17.71785,55.50655,7.04963,5.59275,1.28859,128.5162,0.01924,0.11554
m18,VIV8_m18_L4,Vivarium,0.06105,0.32632,1.53866,2.45271,0.23039,9.39336,11.49492,13.99595,60.74847,5.70633,7.61671,1.39758,123.1292,0.01977,0.11799
