Source Name,Sample Name,Characteristics: Organism,Factor Value: Strain,Characteristics: sex,Characteristics: Material Type,Protocol REF,Comment: plate,Comment: plate well,Protocol REF,Factor Value: Ionizing Radiation,Factor Value: Particle Charge,Factor Value: HZE,Parameter Value: ionizing radiation energy,Parameter Value: linear energy transfer,Parameter Value: absorbed radiation dose rate,Factor Value: Absorbed Radiation Dose,Factor Value: Time of Sample Collection After Treatment,Parameter Value: average fractionated dose rate,Parameter Value: exposure duration,Parameter Value: ionizing radiation source,Parameter Value: ionizing radiation facility
B6C3F1,B6C3F1_P235_F4_B6C3_FEMALE_1,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P235,F4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B6C3F2,B6C3F2_P235_E3_B6C3_FEMALE_1,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P235,E3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B6C3F3,B6C3F3_P235_F3_B6C3_FEMALE_1,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P235,F3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B6C3M1,B6C3M1_P235_C3_B6C3_MALE_1,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P235,C3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B6C3M2,B6C3M2_P235_D4_B6C3_MALE_1,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P235,D4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B6C3M3,B6C3M3_P235_D3_B6C3_MALE_1,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P235,D3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BALBCF1,BALBCF1_P235_A8_BALBC_FEMALE_1,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P235,A8,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BALBCF2,BALBCF2_P235_C7_BALBC_FEMALE_1,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P235,C7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BALBCF3,BALBCF_P235_F7_BALBC_FEMALE_1,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P235,F7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BALBCM1,BALBCM1_P235_C8_BALBC_MALE_1,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P235,C8,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BALBCM2,BALBCM2_P235_C6_BALBC_MALE_1,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P235,C6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BALBCM3,BALBCM3_P235_D5_BALBC_MALE_1,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P235,D5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C3HF1,C3HF1_P235_B4_C3H_FEMALE_1,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P235,B4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C3HF2,C3HF2_P235_A4_C3H_FEMALE_1,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P235,A4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C3HF3,C3HF3_P235_H2_C3H_FEMALE_1,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P235,H2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C3HM1,C3HM1_P235_G2_C3H_MALE_1,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P235,G2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C3HM2,C3HM2_P235_H1_C3H_MALE_1,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P235,H1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C3HM3,C3HM3_P235_G1_C3H_MALE_1,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P235,G1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C57BLF1,C57BLF1_P235_A6_C57_FEMALE_1,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P235,A6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C57BLF2,C57BLF2_P235_H4_C57_FEMALE_1,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P235,H4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
C57BLF3,C57BLF3_P235_G4_C57_FEMALE_1,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P235,G4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
