Source Name,Sample Name,PWB,Duration,Material Type,Final Body weight [g],femur_length_millimeters,stiffness_N_per_mm_newtons_per_millimeter,maximum_load_N_newtons,failure_load_newtons,elastic_modulus_E_newtons_per_millimeter_squared,maximum_moment_newtons_per_millimeters,fail_moment_newtons_per_millimeters,max_moment_inertia_mm4,min_moment_inertia_mm4,estimated_modulus_Mpa_megapascals
479659,479659_Left Femur,PWB100,1wk,Left Femur,424.6,38.3,334.1024,161.7696,161.7624,55683.73333,808.848,808.812,8.80459,5.66354,7697.43337
479669,479669_Left Femur,PWB100,1wk,Left Femur,424.6,38.3,367.1444,147.1603,144.5009,61190.73333,735.8015,722.5045,10.14908,5.76589,7689.707657
485917,485917_Left Femur,PWB100,1wk,Left Femur,411.5,38.2,352.2873,148.8205,138.3978,58714.55,744.1025,691.989,7.98994,4.60012,9327.127909
485918,485918_Left Femur,PWB100,1wk,Left Femur,432,38.6,359.2065,152.5088,142.4138,59867.75,762.544,712.069,9.83338,4.9829,8081.347005
492516,492516_Left Femur,PWB100,1wk,Left Femur,415.2,38.5,313.4587,128.8849,120.2042,52243.11667,644.4245,601.021,11.93738,5.03663,6155.659937
492518,492518_Left Femur,PWB100,1wk,Left Femur,411.7,37.7,311.7742,139.1988,138.7117,51962.36667,695.994,693.5585,8.99817,4.9838,7432.767581
492522,492522_Left Femur,PWB100,1wk,Left Femur,393.7,38.3,425.1643,154.2334,144.0716,70860.71667,771.167,720.358,9.04945,5.52605,9723.263925
495117,495117_Left Femur,PWB100,1wk,Left Femur,470.6,38.7,273.3804,139.8299,103.8694,45563.4,699.1495,519.347,14.15622,8.1984,4076.419103
495120,495120_Left Femur,PWB100,1wk,Left Femur,430.1,37.6,334.7619,150.0556,86.3624,55793.65,750.278,431.812,14.70031,7.77043,4965.893424
495124,495124_Left Femur,PWB100,1wk,Left Femur,460.3,38.5,293.7166,129.6021,128.2207,48952.76667,648.0105,641.1035,13.24201,7.59066,4699.615236
501572,501572_Left Femur,PWB100,1wk,Left Femur,449.4,36.1,353.7077,172.5325,171.722,58951.28333,862.6625,858.61,18.54633,9.75139,4166.504109
501579,501579_Left Femur,PWB100,1wk,Left Femur,396.5,37.1,388.7584,155.0837,140.9208,64793.06667,775.4185,704.604,10.93389,6.60985,7386.459976
479662,479662_Left Femur,PWB20,1wk,Left Femur,362.4,38.1,293.8357,122.2813,121.8183,48972.61667,611.4065,609.0915,7.58852,4.45018,8135.864614
479666,479666_Left Femur,PWB20,1wk,Left Femur,382,38.5,262.4943,150.0434,149.9391,43749.05,750.217,749.6955,10.50786,4.84935,5697.525788
485919,485919_Left Femur,PWB20,1wk,Left Femur,378,37,310.1112,135.9485,131.2904,51685.2,679.7425,656.452,9.35354,5.00502,7199.217749
485920,485920_Left Femur,PWB20,1wk,Left Femur,391.3,37.5,365.4864,145.3713,137.2389,60914.4,726.8565,686.1945,10.24477,5.71224,7634.81379
492515,492515_Left Femur,PWB20,1wk,Left Femur,398,38.7,383.92,167.7482,159.8386,63986.66667,838.741,799.193,9.70204,6.23487,8029.996614
492519,492519_Left Femur,PWB20,1wk,Left Femur,414.5,38.9,305.0318,134.5667,130.1652,50838.63333,672.8335,650.826,12.4317,6.93921,5248.966965
492521,492521_Left Femur,PWB20,1wk,Left Femur,394.7,37.7,358.4434,156.9821,156.4995,59740.56667,784.9105,782.4975,10.37662,5.90291,7339.347839
495116,495116_Left Femur,PWB20,1wk,Left Femur,376.2,37.1,331.1001,142.9516,142.9516,55183.35,714.758,714.758,9.76042,5.12393,7414.949259
495121,495121_Left Femur,PWB20,1wk,Left Femur,414.5,37.7,246.6281,128.768,128.7085,41104.68333,643.84,643.5425,9.83338,4.9829,5548.583495
501575,501575_Left Femur,PWB20,1wk,Left Femur,397.2,37.3,234.0988,139.2702,137.5231,39016.46667,696.351,687.6155,9.7456,5.55458,5100.13172
501576,501576_Left Femur,PWB20,1wk,Left Femur,447.2,37.3,322.3668,143.7276,141.4594,53727.8,718.638,707.297,9.51572,6.17884,6846.678085
501578,501578_Left Femur,PWB20,1wk,Left Femur,415.5,38.5,425.0546,175.1156,170.3463,70842.43333,875.578,851.7315,13.09505,7.41826,6906.972432
479664,479664_Left Femur,PWB40,1wk,Left Femur,371.1,37.9,344.2365,152.2937,151.512,57372.75,761.4685,757.56,10.18019,5.72837,7212.814988
479668,479668_Left Femur,PWB40,1wk,Left Femur,341,37.7,375.037,135.4794,86.1305,62506.16667,677.397,430.6525,7.19161,4.38986,10794.16804
479674,479674_Left Femur,PWB40,1wk,Left Femur,402.1,38.6,294.3765,133.1696,133.1696,49062.75,665.848,665.848,7.70691,4.75678,7872.909227
485922,485922_Left Femur,PWB40,1wk,Left Femur,401.9,38.8,348.0044,151.0464,151.0464,58000.73333,755.232,755.232,9.22064,5.35432,7958.956091
485923,485923_Left Femur,PWB40,1wk,Left Femur,373.9,38.7,262.0185,137.0909,137.0276,43669.75,685.4545,685.138,8.00804,4.83686,6799.546902
