,,,trabecular_BMD_mg_per_cubic_centimeters,trabecular_BMD_mg_per_cubic_centimeters,trabecular_BMD_mg_per_cubic_centimeters,trabecular_BMD_mg_per_cubic_centimeters,trabecular_BMD_change_from_baseline_percent,trabecular_BMD_change_from_baseline_percent,trabecular_BMD_change_from_baseline_percent,cortical_BMD_mg_per_cubic_centimeters,cortical_BMD_mg_per_cubic_centimeters,cortical_BMD_mg_per_cubic_centimeters,cortical_BMD_mg_per_cubic_centimeters,cortical_BMD_change_from_baseline_percent,cortical_BMD_change_from_baseline_percent,cortical_BMD_change_from_baseline_percent
Source Name,PWB,Duration,0 week,1 week,2 week,4 week,1 week,2 week,4 week,0 week,1 week,2 week,4 week,1 week,2 week,4 week
475796,PWB100,4wk,181.7,165.6,162.6,168.7,-8.9,-10.5,-7.2,,,,,,,
475803,PWB100,4wk,202.5,185.4,173.7,181.6,-8.4,-14.2,-10.3,,,,,,,
479659,PWB100,1wk,133.6,139.1,,,4.1,,,1270.3,1282.3,,,0.9,,
479660,PWB100,2wk,122.8,108.7,100.9,,-14.5,-23.1,,1303.5,1312.5,1327.3,,0.7,1.8,
479661,PWB20,2wk,141.8,127,113.1,,-10.4,-20.2,,1306.8,1321.4,1319.8,,1.1,1,
479662,PWB20,1wk,177.4,155.1,,,-12.6,,,1293.1,1338.2,,,3.5,,
479663,PWB100,2wk,153.4,131.1,117.9,,-11.5,-17.8,,1326.6,1342.6,1339.1,,1.2,0.9,
479664,PWB40,1wk,157.9,152.6,,,-3.4,,,1309.8,1340.4,,,2.3,,
479665,PWB70,1wk,97,79.5,,,-18,,,1280,1294.5,,,1.1,,
479666,PWB20,1wk,127.1,87,,,-31.5,,,1300.1,1320.8,,,1.6,,
479667,PWB20,2wk,121.9,117.3,109.6,,-3.8,-10.1,,1266.7,1316.6,1295.6,,3.9,2.3,
479668,PWB40,1wk,164.5,142.2,,,-13.6,,,1270.5,1294.8,,,1.9,,
479670,PWB70,1wk,102.7,95.7,,,-6.8,,,1301,1305.4,,,0.3,,
479671,PWB20,2wk,181.1,122,117.1,,-32.6,-35.3,,1279.5,1311.4,1319,,2.5,3.1,
479673,PWB70,1wk,163.3,123,,,-24.7,,,1267,1281.6,,,1.2,,
479674,PWB40,1wk,135.9,131.1,,,-3.5,,,1264.8,1257,,,-0.6,,
479675,PWB100,2wk,204.5,187.8,199.3,,-8.2,-2.5,,1347.3,1340,1352.6,,-0.5,0.4,
479676,PWB20,2wk,151,113.8,97,,-24.6,-35.8,,1305.7,1316.7,1327.6,,0.8,1.7,
479677,PWB100,2wk,189.1,144,155.5,,-23.8,-17.8,,1304.8,1308.4,1307.4,,0.3,0.2,
479678,PWB100,2wk,161.2,154.1,150.7,,-4.4,-6.5,,1322.2,1314.3,1320.5,,-0.6,-0.1,
479680,PWB20,2wk,170.9,137.5,142.4,,-19.5,-16.7,,1318.1,1340.6,1350.1,,1.7,2.4,
481359,PWB100,2wk,130.9,124.3,138.2,,-5,5.6,,1287.9,1280.3,1293.6,,-0.6,0.4,
485916,PWB70,1wk,117.1,114.3,,,-2.4,,,1275.1,1291.9,,,1.3,,
485917,PWB100,1wk,126.6,136.9,,,8.1,,,1266.6,1272.2,,,0.4,,
485918,PWB100,1wk,133.1,130.1,,,-2.3,,,1308.4,1316,,,0.6,,
485920,PWB20,1wk,144,128.4,,,-10.8,,,1303.2,1300.4,,,-0.2,,
485921,PWB70,1wk,117.5,117.6,,,0.1,,,1270.4,1267.4,,,-0.2,,
485922,PWB40,1wk,140.1,130.3,,,-7,,,1273.8,1270.4,,,-0.3,,
485923,PWB40,1wk,107.8,87.9,,,-18.5,,,1325.5,1330.3,,,0.4,,
485924,PWB40,1wk,141.2,134.6,,,-4.7,,,1258,1260.3,,,0.2,,
485925,PWB70,1wk,180.8,176.7,,,-2.3,,,1325.4,1314.3,,,-0.8,,
491045,PWB100,2wk,114.8,100.6,110.2,,-12.4,-4,,1308,1315.9,1327.9,,0.6,1.5,
491047,PWB40,2wk,194,168.4,144.4,,-13.2,-25.6,,1320.8,1316.2,1317.5,,-0.3,-0.2,
491048,PWB100,4wk,126,120.7,116,118,-4.2,-7.9,-6.3,1322.6,1323.9,1335.7,1335,0.1,1,0.9
491049,PWB40,4wk,151.7,136.9,135.6,122.3,-9.8,-10.6,-19.4,1315.1,1322.9,1327,1346.2,0.6,0.9,2.4
491050,PWB40,4wk,159.6,141.2,113.3,119.9,-11.5,-29,-24.9,1339.1,1351.2,1361.9,1358.3,0.9,1.7,1.4
491051,PWB40,2wk,139.4,123.5,132.6,,-11.4,-4.9,,1324,1341.3,1341.2,,1.3,1.3,
491052,PWB40,2wk,138.5,134.9,132.5,,-2.6,-4.3,,1326.3,1336.1,1362.4,,0.7,2.7,
491053,PWB100,2wk,147.4,153.9,142.4,,4.4,-3.4,,1318.6,1310.4,1325.6,,-0.6,0.5,
491054,PWB40,2wk,205,196.7,169.6,,-4,-17.3,,1310.8,1324.4,1332.9,,1,1.7,
491055,PWB40,2wk,200.6,197,161.1,,-1.8,-19.7,,1337.1,1335.2,1348.6,,-0.1,0.9,
491056,PWB70,2wk,191.3,179.9,177.4,,-6,-7.3,,1325.1,1327,1324.2,,0.1,-0.1,
491057,PWB70,2wk,88.8,78.1,84.4,,-12,-5,,1320.9,1315,1332.7,,-0.4,0.9,
491058,PWB40,4wk,124.6,111,105.9,110.6,-10.9,-15,-11.2,1353.8,1336.3,1352.5,1357.3,-1.3,-0.1,0.3
491059,PWB40,2wk,156.2,131,99.4,,-16.1,-36.4,,1312.6,1317,1325.8,,0.3,1,
491060,PWB70,2wk,109.2,109.6,109.3,,0.4,0.1,,1324.9,1327.6,1338.1,,0.2,1,
491061,PWB70,2wk,180.8,173,169.5,,-4.3,-6.3,,1281.1,1316.5,1310.8,,2.8,2.3,
491062,PWB100,4wk,85.2,94.2,92.2,85.3,10.6,8.2,0.1,1324.8,1329.8,1326.1,1340.5,0.4,0.1,1.2
494305,PWB70,4wk,160.6,148.5,91.3,101.3,-7.5,-43.2,-36.9,1311.6,1249.9,1306.1,1305.8,-4.7,-0.4,-0.4
494306,PWB70,4wk,109.9,90.5,105.9,100.5,-17.7,-3.6,-8.6,1310.2,1300.4,1252.4,1305,-0.7,-4.4,-0.4
494307,PWB100,4wk,166.5,144.3,148.7,152.4,-13.3,-10.7,-8.5,1314.6,1295,1312.4,1309,-1.5,-0.2,-0.4
494309,PWB70,4wk,94.3,91.7,82.5,65.6,-2.8,-12.5,-30.4,1297.7,1283.7,1270.5,1288.2,-1.1,-2.1,-0.7
494310,PWB40,4wk,163.7,148.4,110.5,99.4,-9.3,-32.5,-39.3,1309,1277.9,1298.8,1308.2,-2.4,-0.8,-0.1
494312,PWB100,4wk,92.2,100.9,104,116.8,9.4,12.8,26.7,1280.4,1243.4,1263.5,1272.8,-2.9,-1.3,-0.6
495102,PWB20,2wk,127.2,105.6,100.9,,-17,-20.7,,1281.3,1287.5,1285.1,,0.5,0.3,
495103,PWB40,2wk,141.4,116.4,107.8,,-17.7,-23.8,,1307,1317.5,1322.9,,0.8,1.2,
495104,PWB70,2wk,139.9,106.5,118.8,,-23.9,-15.1,,1299.5,1319,1313.9,,1.5,1.1,
495105,PWB100,2wk,120.6,111,112.5,,-8,-6.7,,1317.5,1313.3,1319.8,,-0.3,0.2,
495106,PWB20,2wk,126.3,106.5,85.7,,-15.7,-32.1,,1287.6,1299.4,1303.1,,0.9,1.2,
495107,PWB20,2wk,139.5,100.2,87.4,,-28.2,-37.3,,1290.2,1286.6,1315.6,,-0.3,2,
495108,PWB40,2wk,145.5,140.4,119.9,,-3.5,-17.6,,1285.2,1304,1294.7,,1.5,0.7,
495109,PWB40,2wk,142.7,115.9,110.1,,-18.8,-22.8,,1299.3,1288.7,1292.2,,-0.8,-0.5,
495110,PWB20,2wk,167,135.3,119.8,,-19,-28.3,,1272.7,1283,1292.2,,0.8,1.5,
495111,PWB40,2wk,116.7,99.2,85.3,,-15,-26.9,,1251.6,1275.6,1276.4,,1.9,2,
495113,PWB70,2wk,100.4,108.2,100.1,,7.8,-0.3,,1299.4,1306.7,1311.5,,0.6,0.9,
495114,PWB70,2wk,103.8,96.6,84.3,,-6.9,-18.8,,1318.9,1318.8,1327.2,,0,0.6,
495115,PWB20,2wk,144.1,112.2,88.3,,-22.1,-38.7,,1300.8,1311.6,1308.4,,0.8,0.6,
495119,PWB70,1wk,93.6,76.2,,,-18.6,,,1258,1265.2,,,0.6,,
495120,PWB100,1wk,170.2,157.3,,,-7.6,,,1289.9,1291.3,,,0.1,,
495123,PWB70,1wk,100,86.3,,,-13.7,,,1290.2,1267.8,,,-1.7,,
495124,PWB100,1wk,104.7,105.3,,,0.6,,,1260.2,1279,,,1.5,,
495126,PWB70,1wk,130.7,95.4,,,-27,,,1243.9,1254,,,0.8,,
495127,PWB70,1wk,87.9,79.4,,,-9.7,,,1278.5,1268.1,,,-0.8,,
501572,PWB100,1wk,200.4,181.2,,,-9.6,,,1297.4,1312.3,,,1.1,,
501575,PWB20,1wk,141.8,124.6,,,-12.1,,,1294.4,1302.6,,,0.6,,
501576,PWB20,1wk,169.7,146.3,,,-13.8,,,,,,,,,
501578,PWB20,1wk,172.4,124.1,,,-28,,,,,,,,,
501579,PWB100,1wk,118.6,125.9,,,6.2,,,,,,,,,
509763,PWB20,4wk,211.3,205.1,191.5,156.9,-2.9,-9.4,-25.7,1324.9,1309,1319.6,1331,-1.2,-0.4,0.5
509764,PWB20,4wk,222.6,192.2,156.6,114.1,-13.7,-29.6,-48.7,1340.6,1336.9,1333.8,1351,-0.3,-0.5,0.8
509765,PWB70,4wk,159,145.6,151.8,132.5,-8.4,-4.5,-16.7,1264.5,1259.5,1268.9,1288.9,-0.4,0.3,1.9
509766,PWB70,4wk,299.5,285.4,251,227.6,-4.7,-16.2,-24,1281.4,1282.3,1272.7,1277.2,0.1,-0.7,-0.3
