N,Teatment,Rat_Number,caliper_Length_mm,DXA_Area_mmsq,DXA_BMC_mg,DXA_BMD_mg_per_mmsq,cort_CSA_mmsq,Cortical_area_mmsq,cort_Marrow_Area_mmsq,Cortical_Thickness_micrometer,cort_pMOI_mm_4thpwr,metaphysis_canc_BV_TV_percent,metaphysis_canc_ConnD_1per_mm_third,metaphysis_canc_TRI_SMI,metaphysis_canc_Tb_N_1per_mm,metaphysis_canc_Tb_Th_micrometer,metaphysis_canc_Tb_Sp_micrometer,epiphysis_canc_BV_TV_percent,epiphysis_canc_ConnD_1per_mm_third,epiphysis_canc_TRI_SMI,epiphysis_canc_Tb_N_1per_mm,epiphysis_canc_Tb_Th_micrometer,epiphysis_canc_Tb_Sp_micrometer
1,BSL,1,29.1,162,198,1.2,5.9,3.5,2.4,472,4.8,8.9,53,2.2,3.3,60,330,32.3,95,-0.2,4.0,80,237
2,BSL,2,28.9,161,190,1.2,5.9,3.5,2.5,458,4.8,8.2,49,2.3,3.3,60,308,32.5,102,-0.2,4.3,79,230
3,BSL,3,28.5,147,172,1.2,6.6,3.8,2.9,478,5.8,9.2,57,2.1,3.0,59,331,31.7,113,-0.1,4.1,76,233
4,BSL,4,28.1,155,174,1.1,6.3,3.6,2.7,475,5.3,8.0,47,2.3,3.2,60,312,32.1,100,-0.2,3.9,78,240
5,BSL,5,27.9,157,181,1.2,5.9,3.4,2.4,462,4.6,7.0,40,2.4,3.2,59,303,30.0,104,0.0,4.0,75,240
6,BSL,6,28.1,153,176,1.1,6.0,3.5,2.5,473,4.9,6.5,35,2.4,3.1,58,327,29.0,99,0.1,3.9,75,248
1,Ground Control,13A,29.0,169,212,1.3,6.4,3.9,2.5,515,5.7,7.7,45,2.3,3.1,61,312,29.4,87,0.1,3.8,78,246
2,Ground Control,13B,29.6,158,181,1.1,5.9,3.6,2.3,497,4.8,5.8,25,2.4,3.5,61,330,28.7,86,0.0,3.8,76,255
3,Ground Control,14A,29.7,156,174,1.1,5.9,3.5,2.4,478,4.8,7.6,50,2.3,3.5,59,283,28.0,88,0.2,3.9,74,248
4,Ground Control,14B,28.6,169,195,1.2,6.3,3.7,2.6,492,5.4,5.5,32,2.3,3.7,55,274,28.0,93,0.3,4.0,74,244
5,Ground Control,15A,29.5,159,184,1.2,6.1,3.5,2.6,470,4.9,6.3,34,2.3,3.1,55,333,29.2,91,0.1,3.8,75,248
6,Ground Control,15B,29.3,168,194,1.2,6.1,3.7,2.3,514,5.2,6.9,40,2.4,2.9,61,322,27.4,78,0.2,3.6,76,267
7,Ground Control,16A,29.8,166,198,1.2,6.4,3.8,2.6,497,5.6,7.8,44,2.3,3.1,61,310,27.1,82,0.3,4.0,75,247
8,Ground Control,16B,29.4,167,192,1.1,6.4,3.7,2.7,480,5.5,6.7,37,2.2,2.6,62,393,28.0,85,0.2,3.9,74,251
9,Ground Control,17A,29.9,165,196,1.2,6.4,3.7,2.7,485,5.6,6.4,31,2.3,2.7,60,336,28.7,91,0.2,3.9,76,246
10,Ground Control,17B,29.1,165,189,1.1,6.1,3.6,2.4,494,5.1,7.3,42,2.2,3.1,61,344,27.7,92,0.3,3.8,74,248
11,Ground Control,18A,29.0,167,202,1.2,6.4,3.8,2.6,501,5.6,8.1,45,2.4,3.4,61,302,28.1,91,0.2,4.1,73,235
12,Ground Control,18B,30.0,155,176,1.1,6.4,3.7,2.6,481,5.6,5.4,23,2.3,2.8,59,358,28.0,86,0.3,3.9,76,247
1,Flight,1A,29.4,160,170,1.1,6.0,3.5,2.5,478,4.9,4.0,17,2.7,2.9,58,334,23.5,83,0.5,3.6,68,271
2,Flight,1B,29.2,158,168,1.1,6.1,3.6,2.5,481,5.1,4.1,14,2.7,2.5,59,397,23.1,78,0.6,3.6,70,270
3,Flight,2A,29.1,164,171,1.0,5.6,3.4,2.2,471,4.4,4.6,20,2.5,3.2,67,320,23.4,82,0.6,3.6,68,267
4,Flight,2B,29.1,153,167,1.1,5.9,3.5,2.4,477,4.7,5.3,21,2.6,2.9,65,345,24.5,81,0.5,3.6,72,261
5,Flight,3A,29.4,166,194,1.2,6.5,3.8,2.7,496,5.8,7.9,33,2.2,3.1,70,311,25.7,79,0.4,3.6,73,263
6,Flight,3B,29.7,159,169,1.1,6.1,3.6,2.5,478,5.1,5.0,25,2.7,2.7,60,392,22.8,77,0.7,3.5,70,277
7,Flight,4A,29.8,168,198,1.2,6.0,3.7,2.3,504,5.0,5.8,27,2.3,2.7,64,376,26.4,84,0.4,3.7,74,255
8,Flight,4B,29.8,168,182,1.1,6.3,3.7,2.6,487,5.4,4.8,24,2.6,2.6,60,392,24.9,81,0.5,3.7,72,260
9,Flight,5A,29.1,160,182,1.1,6.1,3.6,2.6,475,5.1,4.4,21,2.5,2.9,57,340,24.7,81,0.5,3.7,72,254
10,Flight,5B,29.5,155,165,1.1,5.8,3.4,2.3,470,4.6,4.4,21,2.5,2.5,61,384,23.3,78,0.5,3.6,71,266
11,Flight,6A,29.0,159,173,1.1,6.0,3.4,2.6,464,4.9,5.6,23,2.4,2.9,62,363,24.2,75,0.4,3.5,71,273
12,Flight,6B,29.7,157,162,1.0,5.8,3.3,2.4,460,4.5,3.1,13,2.6,3.0,57,327,22.3,81,0.6,3.6,66,265
